feature,importance
V14,0.23108164045226456
V10,0.1162489202990331
V4,0.10299165611547453
V17,0.09789054836636574
V12,0.08352172051304534
V11,0.07858414067268128
V3,0.07250942233497985
V16,0.03520201131007843
V7,0.025436359015054588
V2,0.024734837634656174
V8,0.012630451579493931
V21,0.011197025637935527
V9,0.01069199005626392
V27,0.009873409601288652
V19,0.00916460329387315
V18,0.00842210396808019
V1,0.0079252270764286
V13,0.007728538688595629
V5,0.006637957628361592
V20,0.0063967337982150825
V26,0.006373410121357686
Amount_Scaled,0.00630903237636178
V28,0.005442294341012678
Time_Scaled,0.004225379374353622
V15,0.003572483479583699
V6,0.003477000135604115
V24,0.0031251351040831278
V22,0.0030840156836821507
V25,0.0028255777396422625
V23,0.002696373602148973
